Company Name,Industry,Symbol,Series
NCC Ltd.,Construction,NCC.NS,EQ
NMDC Steel Ltd.,Metals & Mining,NSLNISP.NS,EQ
Narayana Hrudayalaya Ltd.,Healthcare,NH.NS,EQ
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM.NS,EQ
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR.NS,EQ
Netweb Technologies India Ltd.,Information Technology,NETWEB.NS,EQ
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18.NS,EQ
Newgen Software Technologies Ltd.,Information Technology,NEWGEN.NS,EQ
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA.NS,EQ
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO.NS,EQ
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA.NS,EQ
PCBL Ltd.,Chemicals,PCBL.NS,EQ
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING.NS,EQ
PNC Infratech Ltd.,Construction,PNCINFRA.NS,EQ
PTC Industries Ltd.,Capital Goods,PTCIL.NS,EQ
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX.NS,EQ
Pfizer Ltd.,Healthcare,PFIZER.NS,EQ
Piramal Enterprises Ltd.,Financial Services,PEL.NS,EQ
Piramal Pharma Ltd.,Healthcare,PPLPHARMA.NS,EQ
Poly Medicure Ltd.,Healthcare,POLYMED.NS,EQ
Praj Industries Ltd.,Capital Goods,PRAJIND.NS,EQ
Quess Corp Ltd.,Services,QUESS.NS,EQ
R R Kabel Ltd.,Capital Goods,RRKABEL.NS,EQ
RBL Bank Ltd.,Financial Services,RBLBANK.NS,EQ
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM.NS,EQ
RITES Ltd.,Construction,RITES.NS,EQ
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO.NS,EQ
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL.NS,EQ
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW.NS,EQ
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO.NS,EQ
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE.NS,EQ
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF.NS,EQ
Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI.NS,EQ
