,Date,dma_ml,rf_ta,hmm,ff_ta,impulse,ta_50,kalman_filter
242,17-02-2021,1,1,1,0,0,1,1
243,18-02-2021,1,1,1,0,0,1,1
244,19-02-2021,1,1,1,0,-1,1,1
245,22-02-2021,-1,1,1,0,-1,1,1
246,23-02-2021,-1,0,1,0,-1,1,1
247,24-02-2021,-1,1,1,0,1,1,1
248,25-02-2021,1,1,1,0,1,1,1
249,26-02-2021,-1,0,-1,0,-1,1,-1
250,01-03-2021,-1,0,1,0,-1,1,-1
251,02-03-2021,1,0,1,0,1,1,-1
252,03-03-2021,1,1,1,0,1,1,-1
253,04-03-2021,1,1,1,0,1,1,-1
254,05-03-2021,1,1,1,0,-1,1,-1
255,08-03-2021,1,0,1,0,0,1,-1
256,09-03-2021,1,1,1,0,1,1,-1
257,10-03-2021,1,1,1,0,1,1,-1
258,12-03-2021,1,1,1,0,0,1,-1
259,15-03-2021,1,1,1,0,-1,1,-1
260,16-03-2021,1,1,1,0,-1,1,-1
261,17-03-2021,-1,0,1,0,-1,1,-1
262,18-03-2021,-1,0,1,0,-1,-1,-1
263,19-03-2021,-1,1,1,0,0,1,-1
264,22-03-2021,-1,0,1,0,0,1,-1
265,23-03-2021,-1,0,1,0,0,1,-1
266,24-03-2021,-1,0,1,0,-1,-1,-1
267,25-03-2021,-1,0,1,0,-1,-1,-1
268,26-03-2021,-1,0,1,0,0,-1,-1
269,30-03-2021,-1,1,1,-1,1,1,-1
270,31-03-2021,-1,0,1,-1,0,1,-1
271,01-04-2021,1,1,1,-1,1,1,-1
272,05-04-2021,-1,0,1,-1,-1,1,-1
273,06-04-2021,1,1,1,1,0,1,-1
274,07-04-2021,1,1,1,-1,1,1,1
275,08-04-2021,1,1,1,1,1,1,-1
276,09-04-2021,1,1,1,1,1,1,-1
277,12-04-2021,-1,0,-1,-1,-1,-1,-1
278,13-04-2021,-1,1,1,1,-1,-1,-1
279,15-04-2021,-1,1,1,1,0,-1,-1
280,16-04-2021,1,1,1,-1,0,-1,-1
281,19-04-2021,-1,1,1,-1,-1,-1,-1
282,20-04-2021,-1,1,1,-1,-1,-1,-1
283,22-04-2021,-1,0,1,-1,0,-1,-1
284,23-04-2021,-1,1,1,-1,0,-1,-1
285,26-04-2021,-1,1,1,-1,0,-1,-1
286,27-04-2021,-1,1,1,-1,1,1,1
287,28-04-2021,1,1,1,-1,1,1,-1
288,29-04-2021,1,1,1,-1,1,1,-1
289,30-04-2021,-1,1,1,-1,0,1,-1
290,03-05-2021,-1,1,1,-1,0,1,-1
291,04-05-2021,1,1,1,1,-1,-1,-1
292,05-05-2021,1,1,1,1,0,1,-1
293,06-05-2021,1,1,1,1,1,1,-1
294,07-05-2021,1,1,1,1,1,1,-1
295,10-05-2021,1,1,1,1,1,1,-1
296,11-05-2021,1,1,1,1,0,1,-1
297,12-05-2021,1,1,1,1,-1,1,-1
298,14-05-2021,1,1,1,-1,-1,1,-1
299,17-05-2021,1,1,1,-1,1,1,-1
300,18-05-2021,1,1,1,1,1,1,-1
301,19-05-2021,1,1,1,1,1,1,-1
302,20-05-2021,1,1,1,1,0,1,-1
303,21-05-2021,1,1,1,1,1,1,1
304,24-05-2021,1,1,1,1,1,1,1
305,25-05-2021,1,1,1,1,1,1,1
306,26-05-2021,1,1,1,1,1,1,1
307,27-05-2021,1,1,1,1,1,1,1
308,28-05-2021,1,1,1,1,1,1,1
309,31-05-2021,1,1,1,1,1,1,1
310,01-06-2021,1,1,1,1,0,1,1
311,02-06-2021,1,1,1,1,0,1,1
312,03-06-2021,1,1,1,1,0,1,1
313,04-06-2021,1,1,1,1,0,1,1
314,07-06-2021,1,1,1,1,0,1,1
315,08-06-2021,1,1,1,1,0,1,1
316,09-06-2021,1,1,1,1,0,1,1
317,10-06-2021,1,1,1,1,0,1,1
318,11-06-2021,1,1,1,1,0,1,1
319,14-06-2021,1,1,1,1,0,1,1
