Scrip Code,Company,LTP,Change Val,Pts Contribution
542760,SWSOLAR,281.55,1.9,0.12
531548,SOMANYCERA,675.4,3.5,0.12
532734,GPIL,1412.65,6.25,0.12
532689,PVR,1369.35,1.55,0.12
530843,CUPID,259.05,9.25,0.11
533287,ZEELEARN,16.15,0.5,0.11
523610,ITI,136.15,3.65,0.11
519105,AVTNPL,79.25,1.8,0.11
532944,ONMOBILE,145,1.2,0.11
541019,HGINFRA,495.1,4.05,0.11
531599,FDC,379.05,1.25,0.11
521064,TRIDENT,17.7,0.05,0.11
540596,ERIS,768.3,2.05,0.11
511676,GICHSGFIN,185.95,1.95,0.1
539889,PARAGMILK,143.25,1.35,0.1
523398,JCHAC,2281.85,8.85,0.1
524735,HIKAL,518.7,1.65,0.1
541540,SOLARA,1667.9,3.15,0.1
533179,PERSISTENT,2843.35,1.25,0.1
533260,CAREERP,148.5,8.7,0.09
513228,PENIND,36.6,0.75,0.09
530117,PRIVISCL,1374.15,5.55,0.09
513434,TATAMETALI,1272.95,4.65,0.09
541556,RITES,284.3,0.85,0.09
526642,MIRZAINT,56.65,1.45,0.08
533146,DLINKINDIA,163,3.35,0.08
539940,MAXVIL,79.2,1.2,0.08
500650,EXCELINDUS,1232.45,8.05,0.08
533286,MOIL,188.8,0.6,0.08
532524,PTC,103.55,0.2,0.08
541988,AAVAS,2865.65,1.65,0.08
503811,SIYSIL,410.35,2.7,0.07
533023,WABCOINDIA,7385.6,33.2,0.07
500336,SURYAROSNI,537.25,2.05,0.07
523385,NILKAMAL,2517.9,8,0.07
517569,KEI,711.65,0.8,0.07
539141,UFO,106.2,2.55,0.06
519156,VADILALIND,1026.15,15.75,0.06
533282,GRAVITA,174.15,2.05,0.06
506687,TRANSPEK,1902.15,16.25,0.06
532439,OLECTRA,244.5,1.75,0.06
530367,NRBBEARING,142.45,0.75,0.06
508989,NAVNETEDUL*,98.2,0.4,0.06
500249,KSB,1077.4,3.5,0.06
524230,RCF,83.75,0.25,0.06
519091,TASTYBIT,18879.3,50.8,0.06
540180,VBL,796.7,0.25,0.06
530075,SELAN,154.5,3.15,0.05
520059,MUNJALAU,68.1,1.3,0.05
532240,INDNIPPON,379.9,3.8,0.05
500298,NATPEROX,2196.75,20.2,0.05
531633,LINCOPH,368.55,2.5,0.05
541403,DOLLAR,317.9,2,0.05
500117,DCW,40.7,0.25,0.05
523694,APCOTEXIND,320.05,1.4,0.05
539883,PILANIINVS,2001.5,6.65,0.05
540935,GALAXYSURF,3137.75,2.8,0.05
532400,BSOFT,419.75,0.2,0.05
500179,HCL-INSYS,16.85,0.25,0.04
524394,VIMTALABS,305.45,3.15,0.04
540775,KHADIM,305.25,3.1,0.04
533333,FCL,95.95,0.8,0.04
530239,SUVEN,90.8,0.5,0.04
533151,DBCORP,111.95,0.45,0.04
542867,CSBBANK,351.15,1.2,0.04
500407,SWARAJENG,1774.05,4.65,0.04
506690,UNICHEMLAB,336.15,0.75,0.04
533271,ASHOKA,107.95,0.2,0.04
523207,KOKUYOCMLN,73.65,0.75,0.03
500039,BANCOINDIA,164.3,0.95,0.03
532880,OMAXE,94.85,0.4,0.03
502450,SESHAPAPER,216.15,0.65,0.03
543243,EQUITASBNK,65.65,0.15,0.03
526227,FILATEX,110.65,0.2,0.03
541578,VARROC,351.05,0.45,0.03
530549,SHILPAMED,604.65,0.55,0.03
532699,ROHLTD,87.7,1.6,0.02
532395,AXISCADES,96.1,1.05,0.02
532413,CEREBRAINT,58.75,0.15,0.02
504614,SARDAEN,649.1,1.7,0.02
509079,GUFICBIO,183.85,0.45,0.02
517168,SUBROS,332.25,0.7,0.02
500133,ESABINDIA,1939.65,3.7,0.02
543210,AARTISURF,1388.3,2.3,0.02
500413,THOMASCOOK,62.45,0.1,0.02
530343,GENUSPOWER,71.15,0.1,0.02
526947,LAOPALA,273.25,0.35,0.02
500128,ELECTCAST,37.4,0.05,0.02
513023,NBVENTURES*,115.4,0.15,0.02
500338,PRSMJOHNSN,139.35,0.1,0.02
530005,INDIACEM,192.2,0.05,0.02
504036,HIRECT,170,1.3,0.01
532513,TVSELECT,196.75,1.1,0.01
516022,STARPAPER,160.95,0.9,0.01
509567,GOACARBON,395.3,1.25,0.01
532485,BLIL,482.8,1.05,0.01
522064,HONDAPOWER,1231.4,2.6,0.01
532181,GMDCLTD,68.2,0.1,0.01
505714,GABRIEL,129.65,0.15,0.01
517421,BUTTERFLY,774.1,0.75,0.01
523630,NFL,62.8,0.05,0.01
500444,WSTCSTPAPR,262.15,0.2,0.01
541195,MIDHANI,199.15,0.15,0.01
540749,MASFIN,878.2,0.35,0.01
505509,RESPONIND,137.75,0.05,0.01
501301,TATAINVEST,1165.6,0.35,0.01
539874,UJJIVAN,241.75,0.05,0.01
570004,JISLDVREQS,22.2,0.1,0
537291,NATHBIOGEN,376.95,0.25,0
539201,SATIA,106.7,0.05,0
502157,MANGLMCEM,393.9,0.1,0
542011,GRSE,201.05,0.05,0
540366,RADIOCITY,25.55,0,0
541233,LEMONTREE,42.1,0,0
532505,UCOBANK,14.05,0,0
532814,INDIANB,138.15,0,0
500120,DIAMINESQ,293.3,-0.1,0
538836,MONTECARLO,368.25,-0.1,0
570002,FELDVR,14.03,-0.1,0
