Scrip Code	Company	LTP	Change Val	Pts Contribution
500520	M&M	779.55	-0.35	-0.15
532156	VAIBHAVGBL	794.65	-6.65	-0.15
533293	KIRLOSENG	262.45	-5.95	-0.15
517506	TTKPRESTIG	9242.90	-90.45	-0.16
521070	ALOKTEXT	27.80	-0.30	-0.16
500403	SUNDRMFAST	788.40	-4.05	-0.18
500031	BAJAJELEC	1032.30	-9.65	-0.18
532500	MARUTI	7303.65	-3.40	-0.19
500008	AMARAJABAT	727.90	-5.50	-0.19
534976	VMART	3281.40	-45.40	-0.19
500530	BOSCHLTD	15282.85	-59.50	-0.22
532784	SOBHA	658.50	-15.75	-0.24
530517	RELAXO	1159.80	-8.15	-0.25
509557	GARFIBRES	3334.35	-65.15	-0.25
532163	SAREGAMA	3303.45	-81.55	-0.25
540762	TIINDIA	1129.50	-6.45	-0.28
505537	ZEEL	209.00	-0.75	-0.31
532929	BRIGADE	339.25	-7.65	-0.32
533273	OBEROIRLTY	707.80	-6.80	-0.34
535648	JUSTDIAL	1073.30	-33.70	-0.49
532977	BAJAJ-AUTO	3930.10	-9.30	-0.51
500114	TITAN	1695.80	-6.50	-1.14
500251	TRENT	880.00	-21.85	-2.06
505200	EICHERMOT	2616.25	-50.15	-2.94
532777	NAUKRI	5104.35	-106.25	-3.17
