time,open,high,low,close,"COPPER1!, MCX: Open","COPPER1!, MCX: High","COPPER1!, MCX: Low","COPPER1!, MCX: Close",Volume,Volume MA
1574135100,11919.45,11958.85,11881.75,11940.1,437.8,438.25,435.55,437.75,NaN,NaN
1574221500,12004.75,12038.6,11966.05,11999.1,437.25,437.5,435.05,435.45,NaN,NaN
1574307900,12025.65,12028.2,11956.9,11968.4,435.15,435.15,430.6,431,NaN,NaN
1574394300,11967.3,11968.1,11883.5,11914.4,431.4,431.4,429.35,430.1,NaN,NaN
1574653500,11922.45,12084.5,11919.75,12073.75,437.1,437.5,433.55,434.05,NaN,NaN
1574739900,12110.2,12132.45,12006.35,12037.7,433.7,436.95,432.05,436.55,NaN,NaN
1574826300,12068.5,12114.9,12055.15,12100.7,435.75,437.4,434.7,435.2,NaN,NaN
1574912700,12132.1,12158.8,12099.95,12151.15,434.55,435.4,433.5,433.9,NaN,NaN
1574999100,12146.2,12147.4,12017.4,12056.05,433.7,435,432,432.6,NaN,NaN
1575258300,12137.05,12137.15,12023.7,12048.2,433.5,435,431.45,432.1,NaN,NaN
1575344700,12067.65,12068.6,11956.4,11994.2,432.4,432.6,428.2,428.35,NaN,NaN
1575431100,11969.95,12054.7,11935.3,12043.2,429.3,432.5,427.7,431.1,NaN,NaN
1575517500,12071.25,12081.2,11998.75,12018.4,430.85,432.4,429.8,430.6,NaN,NaN
1575603900,12047.35,12057.05,11888.85,11921.5,430.85,438.75,430.75,438.1,NaN,NaN
1575863100,11939.1,11981.95,11888.05,11937.5,438,440.4,436.1,439.5,NaN,NaN
1575949500,11950.5,11953.2,11844.7,11856.8,438.25,439.8,437.5,439.15,NaN,NaN
1576035900,11867.35,11923.2,11832.3,11910.15,438.95,442.75,438.55,442.05,NaN,NaN
1576122300,11944.3,12005.5,11934,11971.8,441.8,442.95,439,441.95,NaN,NaN
1576208700,12026.4,12098.85,12023.6,12086.7,442.8,445.4,438.75,440,NaN,NaN
1576467900,12131.35,12134.65,12046.3,12053.95,441.15,443.45,440.9,442.95,NaN,NaN
1576554300,12082.45,12182.75,12070.35,12165,442.6,444.4,442.35,443.75,NaN,NaN
1576640700,12197,12237.7,12163.45,12221.65,443.6,444.15,441,443.7,NaN,NaN
1576727100,12223.4,12268.35,12191.15,12259.7,442.6,446.05,441.7,445.7,NaN,NaN
1576813500,12266.45,12293.9,12252.75,12271.8,445.5,445.5,441.5,442.1,NaN,NaN
1577072700,12235.45,12287.15,12213.25,12262.75,441.4,442,440.1,441.25,NaN,NaN
1577159100,12269.25,12283.7,12202.1,12214.55,446.05,446.7,443.35,444.25,NaN,NaN
1577331900,12211.85,12221.55,12118.85,12126.55,444.15,446,444.05,444.9,NaN,NaN
1577418300,12172.9,12258.45,12157.9,12245.8,444.9,445.7,444.1,444.85,NaN,NaN
1577677500,12274.9,12286.45,12213.8,12255.85,444.25,445.9,443.55,444.45,NaN,NaN
1577763900,12247.1,12247.1,12151.8,12168.45,444.1,444.2,440.85,441.25,NaN,NaN
1577850300,12202.15,12222.2,12165.3,12182.5,441.6,441.6,438.3,440.8,NaN,NaN
1577936700,12198.55,12289.9,12195.25,12282.2,443.4,444.4,441.25,443.8,NaN,NaN
1578023100,12261.1,12265.6,12191.35,12226.65,442.85,444.15,439,441.8,NaN,NaN
1578282300,12170.6,12179.1,11974.2,11993.05,443.5,446.95,441.2,446.3,NaN,NaN
1578368700,12079.1,12152.15,12005.35,12052.95,446,449.6,446,449.1,NaN,NaN
1578455100,11939.1,12044.95,11929.6,12025.35,449.5,452.25,449.15,451.85,NaN,NaN
1578541500,12153.15,12224.05,12132.55,12215.9,451.65,453.45,449.4,449.95,NaN,NaN
1578627900,12271,12311.2,12213.2,12256.8,450.5,451.6,446.6,447.4,NaN,NaN
