Date,Open,High,Low,Close
22-04-2016,16.512501,16.8575,15.335,16.379999
25-04-2016,16.379999,17.030001,16.127501,16.5725
26-04-2016,16.5725,16.817499,15.6425,16.58
27-04-2016,16.58,16.790001,16.227501,16.352501
28-04-2016,16.352501,16.77,15.3075,16.5975
29-04-2016,16.5975,17.24,15.63,16.5375
02-05-2016,16.5375,17.655001,16.5375,17.092501
03-05-2016,17.092501,18.0825,15.605,17.4625
04-05-2016,17.4625,17.782499,16.2675,17.445
05-05-2016,17.445,17.48,15.7275,17.17
06-05-2016,17.17,17.502501,16.055,16.9475
09-05-2016,16.9475,16.9475,15.2175,16.612499
10-05-2016,16.612499,17.184999,15.0225,16.415001
11-05-2016,16.415001,17.4625,15.5375,16.9625
12-05-2016,16.9625,17.1675,15.96,16.327499
13-05-2016,16.327499,17.3675,14.195,16.997499
16-05-2016,16.997499,17.77,16.1675,17.032499
17-05-2016,17.032499,17.032499,15.735,16.372499
18-05-2016,16.372499,16.969999,15.99,16.455
19-05-2016,16.455,17.4175,15.4175,17.0625
20-05-2016,17.0625,17.0625,14.9825,16.424999
23-05-2016,16.424999,16.5525,15.1825,16.16
24-05-2016,16.16,16.887501,15.6875,16.219999
25-05-2016,16.219999,16.219999,14.5475,15.52
26-05-2016,15.52,15.52,14.4675,15.325
27-05-2016,15.325,15.8575,14.9375,15.26
30-05-2016,15.26,16.442499,14.77,15.975
31-05-2016,15.975,16.362499,14.3025,16.045
01-06-2016,16.045,16.0975,14.72,15.835
02-06-2016,15.835,15.9375,14.96,15.0875
03-06-2016,15.0875,15.3925,14.0475,14.995
06-06-2016,14.995,15.535,14.1175,15.355
07-06-2016,15.355,15.355,14.4025,14.87
08-06-2016,14.87,15.2875,13.315,15.1425
09-06-2016,15.1425,15.8325,13.975,15.6725
10-06-2016,15.6725,16.27,14.5525,15.97
13-06-2016,15.97,17.077499,15.6575,16.5825
14-06-2016,16.5825,17.5375,14.91,17.190001
15-06-2016,17.190001,17.629999,15.42,17.055
16-06-2016,17.055,18.4625,15.775,17.6975
17-06-2016,17.6975,17.897499,16.040001,17.35
20-06-2016,17.35,18.450001,16.290001,17.5175
21-06-2016,17.5175,17.705,16.389999,17.26
22-06-2016,17.26,18.3125,16.219999,18.184999
23-06-2016,18.184999,18.827499,16.9925,18.02
24-06-2016,18.02,21.049999,16.1525,18.627501
27-06-2016,18.627501,19.73,18.3825,18.530001
28-06-2016,18.530001,18.809999,17.445,17.725
29-06-2016,17.725,17.725,15.905,16.155001
30-06-2016,16.155001,16.41,14.655,16.290001
01-07-2016,16.290001,16.3575,15.6525,15.7375
04-07-2016,15.7375,15.965,15.15,15.5775
05-07-2016,15.5775,15.7,14.8325,15.3625
07-07-2016,15.3625,15.58,14.285,15.3075
08-07-2016,15.3075,15.805,13.9125,15.0825
11-07-2016,15.0825,15.0825,13.7575,14.8475
12-07-2016,14.8475,15.03,13.815,14.7825
13-07-2016,14.7825,15.405,13.865,15.325
14-07-2016,15.325,15.9225,14.16,15.61
15-07-2016,15.61,16.3225,13.92,15.6375
18-07-2016,15.6375,16.202499,14.1075,15.9875
19-07-2016,15.9875,16.23,13.92,15.795
20-07-2016,15.795,16.2125,14.1375,15.99
21-07-2016,15.99,16.112499,14.0275,15.7125
22-07-2016,15.7125,15.955,14.4425,15.4975
25-07-2016,15.4975,16.112499,13.5225,15.7175
26-07-2016,15.7175,16.147499,13.945,15.62
27-07-2016,15.62,15.67,14.47,15.4275
28-07-2016,15.4275,15.535,12.5925,15.1475
29-07-2016,15.1475,15.23,14.1525,14.9175
01-08-2016,14.9175,15.4775,14.36,15.18
02-08-2016,15.18,15.7925,13.955,15.6925
03-08-2016,15.6925,16.445,14.295,16.237499
04-08-2016,16.237499,16.237499,14.1025,15.14
05-08-2016,15.14,15.14,13.6175,14.3525
08-08-2016,14.3525,14.8225,13.1125,14.5875
09-08-2016,14.5875,14.96,12.35,14.5375
10-08-2016,14.5375,15.25,12.7125,14.9225
11-08-2016,14.9225,14.9225,13.1725,14.2125
12-08-2016,14.2125,14.2125,12.3725,13.77
16-08-2016,13.77,14.6375,13.14,14.1825
17-08-2016,14.1825,14.905,12.7125,14.78
18-08-2016,14.78,14.78,12.91,14.55
19-08-2016,14.55,14.905,12.105,14.5375
22-08-2016,14.5375,15.005,13.27,14.235
23-08-2016,14.235,14.62,13.06,13.8975
24-08-2016,13.8975,14.035,12.39,13.4875
25-08-2016,13.4875,13.6125,10.9275,13.285
26-08-2016,13.285,14.205,12.35,13.57
29-08-2016,13.57,14.005,12.9375,13.165
30-08-2016,13.165,13.165,12.2925,13.02
31-08-2016,13.02,13.5425,12.245,13.2425
01-09-2016,13.2425,13.68,12.5375,13.34
02-09-2016,13.34,13.445,12.6375,12.94
06-09-2016,12.94,13.18,12.3525,12.75
07-09-2016,12.75,13.355,11.9475,13.145
08-09-2016,13.145,13.2325,12.045,13.115
09-09-2016,13.115,13.4525,12.635,13.23
12-09-2016,13.23,15.34,12.7,15.24
14-09-2016,15.24,15.52,14.2,14.7625
15-09-2016,14.7625,15.08,13.44,14.6775
16-09-2016,14.6775,14.95,13.425,14.58
19-09-2016,14.58,15.2025,13.6425,14.94
20-09-2016,14.94,15.15,13.77,14.78
21-09-2016,14.78,14.9525,13.1675,14.805
22-09-2016,14.805,14.805,12.5925,13.34
23-09-2016,13.34,13.59,12.03,13.2475
26-09-2016,13.2475,14.785,12.8125,14.565
27-09-2016,14.565,14.565,13.7725,14.25
28-09-2016,14.25,14.3525,13.4925,13.8475
29-09-2016,13.8475,19.125,13.1525,18.450001
30-09-2016,18.450001,18.8475,16.827499,17.18
03-10-2016,17.18,17.18,15.51,15.62
04-10-2016,15.62,15.715,14.8125,14.9925
05-10-2016,14.9925,15.145,13.905,14.925
06-10-2016,14.925,15.1225,14.3275,14.835
07-10-2016,14.835,14.97,13.78,14.485
10-10-2016,14.485,14.565,13.27,14.285
13-10-2016,14.285,16.0075,14.285,15.425
14-10-2016,15.425,15.425,14.3325,14.8875
17-10-2016,14.8875,16.049999,14.3475,15.655
18-10-2016,15.655,15.655,14.3,14.5375
19-10-2016,14.5375,14.9475,13.1525,14.6125
20-10-2016,14.6125,14.6125,12.745,14.165
21-10-2016,14.165,14.35,12.4325,13.83
24-10-2016,13.83,14.4475,13.1,14.3325
25-10-2016,14.3325,14.8125,12.84,14.4825
26-10-2016,14.4825,14.9375,13.6,14.4525
27-10-2016,14.4525,14.82,12.7475,14.085
28-10-2016,14.085,14.88,13.4825,14.6525
01-11-2016,15.49,15.8875,14.3125,15.735
02-11-2016,15.735,17.262501,15.1225,16.797501
03-11-2016,16.797501,16.797501,15.485,16.465
04-11-2016,16.465,17.424999,14.6025,16.8475
07-11-2016,16.8475,16.8475,14.935,16.5075
08-11-2016,16.5075,17.377501,15.0675,16.77
09-11-2016,16.77,22.790001,15.84,16.620001
10-11-2016,16.620001,16.620001,14.235,15.4575
11-11-2016,15.4575,17.709999,14.1675,17.365
15-11-2016,17.365,20.834999,16.455,20.145
16-11-2016,20.145,20.190001,16.9025,19.502501
17-11-2016,19.502501,19.502501,17.4375,18.709999
18-11-2016,18.709999,18.709999,15.855,17.805
21-11-2016,17.805,19.764999,15.7175,19.0975
22-11-2016,19.0975,20.1325,17.945,18.465
23-11-2016,18.465,23.092501,16.34,18.040001
24-11-2016,18.040001,18.5825,16.639999,17.16
