time,open,high,low,close,Volume,Volume MA
1534735800,36829,37067,36752,36806,18934,20349.25
1534822200,36885,37085,36885,36981,16740,20278.15
1534995000,36888,36888,36572,36637,21331,20281.9
1535081400,36669,37145,36546,37031,25700,20701.05
1535340600,37801,38120,37786,38003,4000,20075.55
1535427000,38075,38400,37978,38013,6846,19338.75
1535513400,38050,38090,37829,38000,7225,19098.8
1535599800,37970,38029,37700,37723,10676,18368.15
1535686200,37764,38065,37502,37519,25993,18688.7
1535945400,37501,37684,37367,37655,14700,18467.55
1536031800,37555,37660,36690,36884,37231,19131.7
1536118200,36902,37170,36902,37071,20367,19397.45
1536204600,37141,37478,37120,37191,25862,19705.2
1536291000,37100,37371,36951,37207,25615,19929.7
1536550200,37150,37586,37149,37525,21011,20007.1
1536636600,37475,37535,37047,37425,26391,20325.4
1536723000,37399,37554,37000,37307,31072,20374.05
1536895800,37065,37279,36931,37020,19610,20546.05
1537155000,37100,37530,37100,37465,23757,20037.35
1537241400,37400,37680,37215,37474,25108,20408.45
1537327800,37549,37630,37330,37360,21436,20533.55
1537500600,37390,37866,37316,37628,42176,21805.35
1537759800,37550,38020,37406,37897,23041,21890.85
1537846200,37850,38433,37700,38273,27475,21979.6
1537932600,38300,38327,37880,37899,22765,22917.85
1538019000,38000,38090,37450,37625,27639,23957.5
1538105400,37658,38650,37541,38604,38462,25519.35
1538364600,38640,38640,38083,38469,30833,26527.2
1538537400,38550,39329,38550,39120,28017,26628.4
1538623800,38980,39350,38881,39003,27689,27277.85
1538710200,38952,39380,38760,39301,29218,26877.2
1538969400,39130,39130,38435,38486,28891,27303.4
1539055800,38550,38821,38482,38644,22115,27116.05
1539142200,38668,38760,38351,38518,18865,26778.55
1539228600,38538,39060,38451,38917,31772,27316.6
1539315000,38850,39115,38780,38943,21246,27059.35
1539574200,38990,39475,38990,39181,23402,26675.85
1539660600,39300,39340,38875,38898,22441,26817.4
1539747000,38803,39125,38774,38871,19559,26607.5
1539919800,38875,38980,38728,38820,17998,26252
1540179000,38804,38940,38640,38754,18477,26104.05
1540265400,38799,39290,38738,39148,27639,25377.2
1540351800,39145,39168,38820,38862,19869,25218.6
1540438200,38980,39048,38615,38650,20947,24892.2
1540524600,38699,39032,38630,38755,25879,25047.9
1540783800,38785,38995,38230,38319,29376,25134.75
1540870200,38444,38505,38203,38353,19842,24203.75
1540956600,38498,38500,38051,38082,21879,23756.05
1541043000,38123,38924,38031,38811,33480,24029.2
1541129400,38675,38871,38478,38653,28689,24079.2
1541388600,38550,38739,38350,38392,16821,23459.35
1541475000,38433,38559,38120,38168,17076,22868.6
