time,open,high,low,close,"IN10Y, TVC: Open","IN10Y, TVC: High","IN10Y, TVC: Low","IN10Y, TVC: Close",Volume,Volume MA
1550547900,10636.7,10722.85,10585.65,10604.35,NaN,NaN,NaN,NaN,NaN,NaN
1550634300,10655.45,10752.7,10646.4,10735.45,7.5710001,7.57200003,7.54099989,7.54500008,NaN,NaN
1550720700,10744.1,10808.85,10721.5,10789.85,7.57299995,7.57299995,7.54300022,7.54400015,NaN,NaN
1550807100,10782.7,10801.55,10758.4,10791.65,7.54400015,7.61000013,7.54400015,7.60500002,NaN,NaN
1551066300,10813.25,10887.1,10788.05,10880.1,7.59100008,7.61100006,7.58199978,7.58400011,NaN,NaN
1551152700,10775.3,10888.75,10729.3,10835.3,7.62400007,7.62400007,7.57800007,7.58699989,NaN,NaN
1551239100,10881.2,10939.7,10751.2,10806.65,7.6079998,7.69899988,7.59100008,7.67199993,NaN,NaN
1551325500,10865.7,10865.7,10784.85,10792.5,7.6789999,7.6789999,7.59100008,7.59100008,NaN,NaN
1551411900,10842.65,10877.9,10823.1,10863.5,7.58799982,7.58900023,7.54500008,7.55600023,NaN,NaN
1551757500,10864.85,10994.9,10817,10987.45,7.55000019,7.56099987,7.53000021,7.55600023,NaN,NaN
1551843900,11024.85,11062.3,10998.85,11053,7.5539999,7.58699989,7.54799986,7.57200003,NaN,NaN
1551930300,11077.95,11089.05,11027.1,11058.2,7.57499981,7.57999992,7.56099987,7.57999992,NaN,NaN
1552016700,11038.85,11049,11008.95,11035.4,7.56500006,7.5710001,7.52400017,7.53200006,NaN,NaN
1552275900,11068.75,11180.9,11059.85,11168.05,7.53999996,7.54199982,7.50299978,7.51200008,NaN,NaN
1552362300,11231.35,11320.4,11227,11301.2,7.52699995,7.53599977,7.49300003,7.51300001,NaN,NaN
1552448700,11326.2,11352.3,11276.6,11341.7,7.53399992,7.55299997,7.52299976,7.54799986,NaN,NaN
1552535100,11382.5,11383.45,11313.75,11343.25,7.59000015,7.59000015,7.53599977,7.55299997,NaN,NaN
1552621500,11376.85,11487,11370.8,11426.85,7.55800009,7.56099987,7.5,7.50199986,NaN,NaN
1552880700,11473.85,11530.15,11412.5,11462.2,7.47700024,7.48600006,7.45200014,7.48000002,NaN,NaN
1552967100,11500.3,11543.85,11451.25,11532.4,7.49399996,7.54500008,7.47900009,7.53599977,NaN,NaN
1553053500,11553.35,11556.1,11503.1,11521.05,7.53499985,7.54400015,7.51300001,7.5170002,NaN,NaN
1553226300,11549.2,11572.8,11434.55,11456.9,7.47700024,7.50600004,7.47399998,7.50400019,NaN,NaN
1553485500,11395.65,11395.65,11311.6,11354.25,7.47100019,7.47399998,7.45599985,7.47100019,NaN,NaN
1553571900,11375.2,11496.75,11352.45,11483.25,7.329,7.34299994,7.32800007,7.34200001,NaN,NaN
1553658300,11531.45,11546.2,11413,11445.05,7.34399986,7.35699987,7.32299995,7.32700014,NaN,NaN
1553744700,11463.65,11588.5,11452.45,11570,7.31899977,7.33400011,7.30100012,7.32299995,NaN,NaN
1553831100,11625.45,11630.35,11570.15,11623.9,7.329,7.35099983,7.30999994,7.34600019,NaN,NaN
1554090300,11665.2,11738.1,11644.75,11669.15,NaN,NaN,NaN,NaN,NaN,NaN
1554176700,11711.55,11729.35,11655.85,11713.2,7.35599995,7.35599995,7.27099991,7.27199984,NaN,NaN
