time,open,high,low,close,"IN10, TVC: Open","IN10, TVC: High","IN10, TVC: Low","IN10, TVC: Close",Volume,Volume MA
1580874300,12005.85,12098.15,11953.35,12089.15,NaN,NaN,NaN,NaN,NaN,NaN
1580960700,12120,12160.6,12084.65,12137.95,99.523,100,99.523,100,NaN,NaN
1581047100,12151.15,12154.7,12073.95,12098.35,100.11,100.265,100.025,100.05,NaN,NaN
1581306300,12102.35,12103.55,11990.75,12031.5,100.12,100.18,100.01,100.04,NaN,NaN
1581392700,12108.4,12172.3,12099,12107.9,99.99,100.09,99.84,99.87,NaN,NaN
1581479100,12151,12231.75,12144.3,12201.2,99.783,99.823,99.733,99.81,NaN,NaN
1581565500,12219.55,12225.65,12139.8,12174.65,99.7,100.163,99.7,100.16,NaN,NaN
1581651900,12190.15,12246.7,12091.2,12113.45,100.115,100.56,100.108,100.55,NaN,NaN
1581911100,12131.8,12159.6,12037,12045.8,100.71,100.71,100.39,100.42,NaN,NaN
1581997500,12028.25,12030.75,11908.05,11992.5,100.433,100.473,100.27,100.44,NaN,NaN
1582083900,12090.6,12134.7,12042.1,12125.9,NaN,NaN,NaN,NaN,NaN,NaN
1582170300,12119,12152,12071.45,12080.85,100.385,100.465,100.16,100.17,NaN,NaN
1582515900,12012.55,12012.55,11813.4,11829.4,100.44,100.78,100.423,100.58,NaN,NaN
1582602300,11877.5,11883.05,11779.9,11797.9,100.543,100.7,100.44,100.57,NaN,NaN
1582688700,11738.55,11783.25,11639.6,11678.5,100.78,100.873,100.72,100.73,NaN,NaN
1582775100,11661.25,11663.85,11536.7,11633.3,100.84,100.843,100.423,100.5,NaN,NaN
1582861500,11382,11384.8,11175.05,11201.75,100.66,100.66,100.318,100.55,NaN,NaN
1583120700,11387.35,11433,11036.25,11132.75,100.65,100.82,100.625,100.73,NaN,NaN
1583207100,11217.55,11342.25,11152.55,11303.3,100.57,100.76,100.49,100.76,NaN,NaN
1583293500,11351.35,11356.6,11082.15,11251,101.3,101.68,101.1,101.59,NaN,NaN
1583379900,11306.05,11389.5,11244.6,11269,101.5,101.58,101.335,101.5,NaN,NaN
1583466300,10942.65,11035.1,10827.4,10989.45,101.9,102.158,101.855,101.89,NaN,NaN
1583725500,10742.05,10751.55,10294.45,10451.45,102.55,103.27,102.55,102.75,NaN,NaN
