time,open,high,low,close,"COPPER1!, MCX: Open","COPPER1!, MCX: High","COPPER1!, MCX: Low","COPPER1!, MCX: Close",Volume,Volume MA
1470368700,8600.2002,8689.4004,8590.1504,8683.1504,322.7,323.2,318.9,319.75,NaN,NaN
1470627900,8712.8496,8723.5,8697.5996,8711.3496,321.8,322.85,320.35,320.65,NaN,NaN
1470714300,8727.7998,8728.3496,8638.2002,8678.25,320,320.4,317.6,318.15,NaN,NaN
1470800700,8686.7002,8690.0996,8564.5996,8575.2998,318.6,325.1,318.3,321.65,NaN,NaN
1470887100,8572.7998,8601.1504,8540.0498,8592.1504,322.8,324.05,321.2,323.7,NaN,NaN
1470973500,8605.4502,8684.2998,8604.4502,8672.1504,323,323.35,316.7,317.1,NaN,NaN
1471319100,8670.25,8682.3496,8600.4502,8642.5498,318,321.9,317.45,321.2,NaN,NaN
1471405500,8639.7998,8667.0996,8603.5996,8624.0498,320.8,321.2,317.9,319,NaN,NaN
1471491900,8648.8496,8690.7002,8645.0498,8673.25,320,323.5,319.85,320.65,NaN,NaN
1471578300,8694.2998,8696.5996,8647.0996,8666.9004,320.55,322.5,319.75,322.15,NaN,NaN
1471837500,8667,8684.8496,8614,8629.1504,321,321.1,316.6,318.4,NaN,NaN
1471923900,8628.3496,8642.1504,8580,8632.5996,318.4,318.65,313.3,313.8,NaN,NaN
1472010300,8648.5,8661.0498,8620.9004,8650.2998,314,314.35,308.1,308.65,NaN,NaN
1472096700,8668.8496,8683.0498,8583.6504,8592.2002,309.25,309.9,307.3,307.75,NaN,NaN
1472183100,8614.3496,8622.9502,8547.5498,8572.5498,308.95,310.35,306.65,307.95,NaN,NaN
1472442300,8583.75,8622,8543.75,8607.4502,308.4,309.35,307.8,308.35,NaN,NaN
1472528700,8646.75,8750.5996,8642.25,8744.3496,315,315.35,312.5,313.1,NaN,NaN
1472615100,8754.0498,8819.2002,8754.0498,8786.2002,314,314.85,312.55,312.85,NaN,NaN
1472701500,8793.5996,8813.25,8759.9502,8774.6504,314.2,315.4,311.7,312.1,NaN,NaN
1472787900,8796.3496,8824.0996,8768.2002,8809.6504,313.1,314,310.6,310.7,NaN,NaN
1473133500,8852.7002,8950.8496,8848.4502,8943,311.5,313.1,309.85,311.05,NaN,NaN
1473219900,8968.7002,8968.7002,8913.3496,8917.9502,313,314.45,311,312.5,NaN,NaN
1473306300,8915.5,8960.3496,8896,8952.5,313,314.15,311.05,314,NaN,NaN
1473392700,8934.2998,8939.1504,8858.7002,8866.7002,313.9,314.6,312.05,313.65,NaN,NaN
1473651900,8732.9502,8746.9502,8699.4004,8715.5996,313,315.5,310.35,314.35,NaN,NaN
1473824700,8710.6504,8739.8496,8688.9004,8726.5996,316.7,323,315.9,322.55,NaN,NaN
1473911100,8743.8496,8751.9502,8704.3496,8742.5498,323,324.55,321.65,323.3,NaN,NaN
1473997500,8780.8496,8847.6504,8750.5,8779.8496,323.2,324.8,322.15,324.05,NaN,NaN
1474256700,8788.4502,8824.2998,8774.2002,8808.4004,322.9,323.4,321.2,322.8,NaN,NaN
1474343100,8816.0996,8816.4502,8759.2998,8775.9004,322.65,325.2,322.15,324.35,NaN,NaN
1474429500,8790.2998,8826.8496,8757.2998,8777.1504,324,324.4,322.25,322.7,NaN,NaN
1474515900,8873.3496,8893.3496,8837.7998,8867.4502,323.4,327.3,323.4,326.75,NaN,NaN
1474602300,8880.75,8885.2002,8820.2998,8831.5498,326.25,328.4,325.6,327.8,NaN,NaN
1474861500,8807.9004,8809.5498,8715.0996,8723.0498,327,327.5,324.85,326.7,NaN,NaN
1474947900,8748.9004,8768.5,8690.5,8706.4004,325.75,325.8,321.2,322.45,NaN,NaN
1475034300,8711.2002,8767.0498,8703.1504,8745.1504,322.35,324.95,321.95,324.45,NaN,NaN
1475120700,8792.7002,8800.6504,8558.25,8591.25,325,328.7,325,326,NaN,NaN
1475207100,8581.5,8637.1504,8555.2002,8611.1504,325.2,329.3,324.15,328.55,NaN,NaN
1475466300,8666.1504,8745.2002,8635,8738.0996,328.35,328.8,322.1,324.75,NaN,NaN
1475552700,8770,8783.6504,8736.0996,8769.1504,324.1,325.2,321.55,322.2,NaN,NaN
1475639100,8806.3496,8806.9502,8731.4004,8743.9502,322.95,323.4,320.6,322,NaN,NaN
1475725500,8768.7002,8781.1504,8684.6504,8709.5498,322.1,322.1,319.2,320.15,NaN,NaN
1475811900,8721.7002,8723.7002,8663.7998,8697.5996,319.55,323.5,319.55,321.55,NaN,NaN
1476071100,8735.3496,8745.7998,8703.9502,8708.7998,322,326.15,321.4,325,NaN,NaN
1476330300,8671.5,8681.5498,8541.3496,8573.3496,323.1,323.1,315.35,315.8,NaN,NaN
1476416700,8594,8604.4502,8549.7998,8583.4004,316.5,317.2,312.7,313.05,NaN,NaN
1476675900,8612.9502,8615.4004,8506.1504,8520.4004,313.1,315.6,312.9,313.35,NaN,NaN
1476762300,8556.0498,8685.0996,8555.9004,8677.9004,313.9,315.15,312.35,312.5,NaN,NaN
1476848700,8697.5,8698.75,8636.7002,8659.0996,312.1,313,309.9,312.05,NaN,NaN
1476935100,8693.3496,8727,8678.2998,8699.4004,312.7,313.35,310.1,311.4,NaN,NaN
1477021500,8708.5996,8709.0996,8652.0498,8693.0498,312.05,312.35,310.3,310.95,NaN,NaN
1477280700,8709.8496,8736.9502,8684.1504,8708.9502,311.85,312.9,310.2,311.2,NaN,NaN
1477367100,8721.7002,8722.6504,8663.4502,8691.2998,312,318.4,312,317.25,NaN,NaN
1477453500,8657.2998,8657.2998,8596.5996,8615.25,315.9,318.8,315.4,318.35,NaN,NaN
1477539900,8607.0996,8624.8496,8550.25,8615.25,317.05,321.4,316.3,321.05,NaN,NaN
1477626300,8625,8653.75,8581.75,8638,320.8,325.15,320.75,324.95,NaN,NaN
1477971900,8653.1504,8669.5996,8614.5,8626.25,327.9,329.9,325.3,329.35,NaN,NaN
1478058300,8542.7998,8549.5,8504.8496,8514,328.7,329.75,326.55,328.35,NaN,NaN
1478144700,8499.8496,8537.6504,8476.1504,8484.9502,328.2,332.5,327.85,331.9,NaN,NaN
1478231100,8503.5996,8504,8400.25,8433.75,331,335.25,330.7,334.5,NaN,NaN
